Gene Symbol,Name,Entrez GeneId,Genome Location,Tier,Hallmark,Chr Band,Somatic,Germline,Tumour Types(Somatic),Tumour Types(Germline),Cancer Syndrome,Tissue Type,Molecular Genetics,Role in Cancer,Mutation Types,Translocation Partner,Other Germline Mut,Other Syndrome,Synonyms
LMO1,LIM domain only 1 (rhombotin 1) (RBTN1),4004,11:8224304-8263858,1,,15.4,yes,yes,"T-ALL, neuroblastoma",neuroblastoma,,L,Dom,"oncogene, fusion","T, A",TRD,,,"4004,ENSG00000166407.13,LMO1,P25800,RBTN1,RHOM1,TTG1"
LMO2,LIM domain only 2 (rhombotin-like 1) (RBTN2),4005,11:33858576-33892289,1,,13,yes,,T-ALL,,,L,Dom,"oncogene, fusion",T,TRD,,,"4005,ENSG00000135363.11,LMO2,P25791,RBTN2,RBTNL1,RHOM2,TTG2"
LPP,LIM domain containing preferred translocation partner in lipoma,4026,3:188212933-188890671,1,,28,yes,,"lipoma, leukaemia",,,"L, M",Dom,"oncogene, fusion",T,"HMGA2, KMT2A, C12orf9",,,"4026,ENSG00000145012.13,LPP,Q93052"
LRIG3,leucine-rich repeats and immunoglobulin-like domains 3,121227,12:58872149-58920522,1,,14.1,yes,,NSCLC,,,E,Dom,"TSG, fusion",T,ROS1,,,"121227,ENSG00000139263.11,FLJ90440,KIAA3016,LRIG3,Q6UXM1"
LRP1B,LDL receptor related protein 1B,53353,2:140231423-142131701,1,Yes,22.2,yes,,"CLL, ovarian cancer, oesophageal squamous cell carcinoma, urothelial cancer",,,"E, L",Rec,TSG,"D, Mis, N, F",,,,"53353,ENSG00000168702.17,LRP-DIT,LRP1B,LRPDIT,Q9NZR2"
LYL1,lymphoblastic leukemia derived sequence 1,4066,19:13099033-13102867,1,,13.13,yes,,T-ALL,,,L,Dom,"oncogene, fusion",T,TRB,,,"4066,ENSG00000104903.4,LYL1,P12980,bHLHa18"
LZTR1,leucine-zipper-like transcription regulator 1,8216,22:20982013-20999038,1,Yes,11.21,yes,yes,glioblastoma,"glioblastoma, schwannoma",Schwannomatosis-2,E,Dom,TSG,"Mis, F, N",,yes,Noonan syndrome 10,"8216,BTBD29,ENSG00000099949.19,LZTR-1,LZTR1,Q8N653"
MAF,v-maf musculoaponeurotic fibrosarcoma oncogene homolog,4094,16:79593838-79600714,1,,23.2,yes,,MM,,,L,Dom,"oncogene, fusion",T,IGH,,,"4094,ENSG00000178573.6,MAF,O75444,c-MAF"
MAFB,v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian),9935,20:40685848-40689240,1,,12,yes,,MM,,,L,Dom,"oncogene, fusion",T,IGH,,,"9935,ENSG00000204103.3,KRML,MAFB,Q9Y5Q3"
MALT1,mucosa associated lymphoid tissue lymphoma translocation gene 1,10892,18:58671386-58754477,1,,21.32,yes,,MALT,,,L,Dom,"oncogene, fusion",T,BIRC3,,,"10892,ENSG00000172175.12,MALT1,MLT,PCASP1,Q9UDY8"
MAML2,mastermind-like 2 (Drosophila),84441,11:95976598-96343180,1,,21,yes,,salivary gland mucoepidermoid,,,E,Dom,"oncogene, fusion",T,"CRTC3, CRTC1",,,"84441,ENSG00000184384.13,KIAA1819,MAM3,MAML2,Q8IZL2"
MAP2K1,mitogen-activated protein kinase kinase 1,5604,15:66386817-66492312,1,Yes,22.31,yes,,"NSCLC, melanoma, colorectal",,,E,Dom,oncogene,Mis,,yes,Cardiofaciocutaneous syndrome,"5604,ENSG00000169032.9,MAP2K1,MAPKK1,MEK1,PRKMK1,Q02750"
MAP2K2,mitogen-activated protein kinase kinase 2,5605,19:4090321-4124129,1,Yes,13.3,yes,,"NSCLC, melanoma",,,E,Dom,oncogene,Mis,,yes,Cardiofaciocutaneous syndrome,"5605,ENSG00000126934.13,MAP2K2,MEK2,P36507,PRKMK2"
MAP2K4,mitogen-activated protein kinase kinase 4,6416,17:12020834-12143830,1,Yes,12,yes,,"pancreatic, breast, colorectal",,,E,Rec,"oncogene, TSG","D, Mis, N",,,,"6416,ENSG00000065559.14,JNKK1,MAP2K4,MEK4,MKK4,P45985,PRKMK4,SERK1"
MAP3K1,"mitogen-activated protein kinase kinase kinase 1, E3 ubiquitin protein ligase",4214,5:56815574-56896152,1,Yes,11.2,yes,,luminal A breast,,,E,Rec,"oncogene, TSG","N, F, Mis, O, S",,yes,"46,XY sex reversal 6","4214,ENSG00000095015.5,MAP3K1,MAPKKK1,MEKK,MEKK1,Q13233"
MAP3K13,mitogen-activated protein kinase kinase kinase 13,9175,3:185363120-185489097,1,Yes,27.2,yes,,breast,,,E,Rec,"oncogene, TSG",F,,,,"9175,ENSG00000073803.13,LZK,MAP3K13,MEKK13,O43283"
MAPK1,mitogen-activated protein kinase 1,5594,22:21754500-21867629,1,Yes,11.22,yes,,"CLL, ovarian mixed germ cell tumour, cervical carcinoma",,,"E, L",Dom,oncogene,Mis,,,,"5594,ENSG00000100030.14,ERK,ERK2,MAPK1,MAPK2,P28482,PRKM1,PRKM2,p41mapk"
MAX,Myc associated factor X,4149,14:65075544-65102470,1,Yes,23.3,yes,yes,"pheochromocytoma, endometrioid carcinoma, colon carcinoma",pheochromocytoma,,"E, O",Rec,TSG,"Mis, N, F",,,,"4149,ENSG00000125952.18,MAX,P61244,bHLHd4,bHLHd5,bHLHd6,bHLHd7,bHLHd8"
MDM2,Mdm2 p53 binding protein homolog,4193,12:68808176-68850686,1,,15,yes,,"sarcoma, glioma, colorectal, other tumour types",,,"M, O, E, L",Dom,oncogene,A,,,,"4193,ENSG00000135679.23,HDM2,MDM2,MGC5370,Q00987"
MDM4,Mdm4 p53 binding protein homolog,4194,1:204516383-204558120,1,,32.1,yes,,"glioblastoma, bladder, retinoblastoma",,,M,Dom,oncogene,A,,,,"4194,ENSG00000198625.12,HDMX,MDM4,MDMX,O15151"
MECOM,MDS1 and EVI1 complex locus,2122,3:169083499-169146305,1,,26.2,yes,,"AML, CML, MDS",,,L,Dom,"oncogene, fusion",T,"RUNX1, ETV6, PRDM16, RPN1",,,"2122,ENSG00000085276.17,EVI1,KMT8E,MDS1,MDS1-EVI1,MECOM,PRDM3,Q03112"
MED12,mediator complex subunit 12,9968,X:71118723-71142447,1,Yes,13.1,yes,,"uterine leiomyoma, fibroadenoma, phyllodes tumour",,,"M, E",Dom,TSG,"Mis, S, O",,yes,Opitz-Kaveggia Syndrome,"9968,CAGH45,ENSG00000184634.15,FGS1,HOPA,KIAA0192,MED12,OKS,OPA1,Q93074,TNRC11,TRAP230"
MEN1,multiple endocrine neoplasia type 1 gene,4221,11:64803524-64811294,1,Yes,13.1,yes,yes,"parathyroid tumours, pancreatic neuroendocrine tumour","parathyroid adenoma, pituitary adenoma, pancreatic islet cell, carcinoid",multiple endocrine neoplasia type 1,E,Rec,TSG,"D, Mis, N, F, S",,,,"4221,ENSG00000133895.14,MEN1,O00255"
MET,met proto-oncogene (hepatocyte growth factor receptor),4233,7:116672405-116796342,1,Yes,31.2,yes,,"papillary renal, head-neck squamous cell",papillary renal,familial papillary renal cancer,E,Dom,oncogene,Mis,,,,"4233,DFNB97,ENSG00000105976.14,HGFR,MET,P08581,RCCP2"
MITF,melanogenesis-associated transcription factor,4286,3:69739435-69968336,1,,13,yes,,melanoma,,,E,Dom,oncogene,A,,yes,"Waardenburg syndrome type 2, Tietz syndrome","4286,ENSG00000187098.15,MI,MITF,O75030,WS2,WS2A,bHLHe32"
MLF1,myeloid leukemia factor 1,4291,3:158582835-158606459,1,,25.32,yes,,AML,,,L,Dom,"TSG, fusion",T,NPM1,,,"4291,ENSG00000178053.17,MLF1,P58340"
MLH1,E.coli MutL homolog gene,4292,3:36993332-37050918,1,Yes,22.2,yes,yes,"colorectal, endometrial, ovarian, CNS tumours","colorectal, endometrial, ovarian, CNS","hereditary non-polyposis colorectal cancer, Turcot syndrome","E, O",Rec,TSG,"D, Mis, N, F, S",,,,"4292,COCA2,ENSG00000076242.14,FCC2,HNPCC,HNPCC2,MLH1,P40692"
MLLT1,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 1 (ENL)",4298,19:6210379-6279948,1,,13.3,yes,,AL,,,L,Dom,fusion,T,KMT2A,,,"4298,ENL,ENSG00000130382.8,LTG19,MLLT1,Q03111,YEATS1"
MLLT10,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10 (AF10)",8028,10:21534343-21743630,1,Yes,12.31,yes,,AL,,,L,Dom,"oncogene, fusion",T,"KMT2A, PICALM, CDK6",,,"8028,AF10,ENSG00000078403.16,MLLT10,P55197"
MLLT11,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11",10962,1:151057758-151068497,1,,21.3,yes,,ALL,,,L,Dom,fusion,T,KMT2A,,,"10962,AF1Q,ENSG00000213190.3,MLLT11,Q13015"
MLLT3,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 3 (AF9)",4300,9:20341665-20622543,1,,21.3,yes,,ALL,,,L,Dom,fusion,T,KMT2A,,,"4300,AF-9,AF9,ENSG00000171843.15,MLLT3,P42568,YEATS3"
MLLT6,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6 (AF17)",4302,17:38705542-38729803,1,,12,yes,,AL,,,L,Dom,fusion,T,KMT2A,,,"4302,AF17,ENSG00000275023.4,FLJ23480,MLLT6,P55198"
MN1,"MN1 proto-oncogene, transcriptional regulator",4330,22:27748277-27801498,1,,12.1,yes,,"AML, MDS",,,L,Dom,"oncogene, fusion",T,ETV6,,,"4330,ENSG00000169184.5,MGCR,MGCR1,MGCR1-PEN,MN1,Q10571"
MPL,"myeloproliferative leukaemia virus oncogene, thrombopoietin receptor",4352,1:43337849-43352772,1,Yes,34.2,yes,yes,MPN,MPN,familial essential thrombocythemia,L,Dom,oncogene,Mis,,yes,Congenital amegakaryocytic thrombocytopenia,"4352,CD110,ENSG00000117400.17,MPL,P40238,TPOR"
MRTFA,megakaryoblastic leukemia (translocation) 1,57591,22:40411390-40533635,1,,13.2,yes,,acute megakaryocytic leukaemia,,,L,Dom,"oncogene, TSG, fusion",T,RBM15,,,"57591,BSAC,ENSG00000196588.15,KIAA1438,MAL,MKL,MKL1,MRTF-A,MRTFA"
MSH2,mutS homolog 2 (E. coli),4436,2:47402969-47483228,1,Yes,21,yes,yes,"colorectal, endometrial, ovarian","colorectal, endometrial, ovarian",hereditary non-polyposis colorectal cancer,E,Rec,TSG,"D, Mis, N, F, S",,,,"4436,COCA1,ENSG00000095002.14,HNPCC,HNPCC1,MSH2,P43246"
MSH6,mutS homolog 6 (E. coli),2956,2:47783082-47810101,1,Yes,16.3,yes,yes,colorectal,"colorectal, endometrial, ovarian",hereditary non-polyposis colorectal cancer,E,Rec,TSG,"Mis, N, F, S",,,,"2956,ENSG00000116062.14,GTBP,MSH6,P52701"
MSI2,musashi homolog 2 (Drosophila),124540,17:57256534-57684685,1,,22,yes,,CML,,,L,Dom,"oncogene, fusion",T,HOXA9,,,"124540,ENSG00000153944.10,MSI2,Q96DH6"
MSN,moesin,4478,X:65667670-65741931,1,,12,yes,,ALCL,,,L,Dom,fusion,T,ALK,,,"4478,ENSG00000147065.16,MSN,P26038"
MTCP1,mature T-cell proliferation 1,4515,X:155064034-155071226,1,,28,yes,,T cell prolymphocytic leukaemia,,,L,Dom,"oncogene, fusion",T,TRA,,,"4515,ENSG00000214827.9,MTCP1,P13MTCP1,P56278,p8MTCP1"
MTOR,mechanistic target of rapamycin,2475,1:11106535-11262507,1,Yes,36.22,yes,,"endometrial carcinoma, head and neck, clear cell renal cell carcinoma, anaplastic thyroid cancer, urothelial cell carcinoma, central nervous system tumours, testicular germ cell tumours and other tumour types",,,E,Dom,oncogene,"Mis, N",,yes,"Smith-Kingsmore syndrome, brain overgrowth phenotypes such as focal cortical dysplasia and megalencephaly,","2475,ENSG00000198793.12,FLJ44809,FRAP,FRAP1,FRAP2,MTOR,P42345,RAFT1,RAPT1"
MUC1,"mucin 1, transmembrane",4582,1:155185826-155192915,1,,22,yes,,B-NHL,,,L,Dom,fusion,T,IGH,,,"4582,ADMCKD,ADMCKD1,CD227,ENSG00000185499.16,MCD,MCKD,MCKD1,MUC1,PEM,PUM"
MUTYH,mutY homolog (E. coli),4595,1:45329242-45340388,1,,34.1,,yes,,colorectal,adenomatous polyposis coli,E,Rec,TSG,Mis,,,,"4595,ENSG00000132781.17,MUTYH,MYH,Q9UIF7"
MYB,v-myb myeloblastosis viral oncogene homolog,4602,6:135181315-135219167,1,,23.3,yes,,adenoid cystic carcinoma,,,E,Dom,"oncogene, fusion",T,NFIB,,,"4602,ENSG00000118513.18,MYB,P10242,c-myb"
MYC,v-myc myelocytomatosis viral oncogene homolog (avian),4609,8:127736069-127741434,1,Yes,24.21,yes,,"Burkitt lymphoma, amplified in other cancers, B-CLL",,,"L, E",Dom,"oncogene, fusion","A, T","IGK, BCL5, BCL7A , BTG1, TRA, IGH",,,"4609,ENSG00000136997.17,MYC,MYCC,bHLHe39,c-Myc"
MYCL,v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog,4610,1:39895426-39902013,1,,34.2,yes,,small cell lung carcinoma,,,E,Dom,oncogene,A,,,,"4610,ENSG00000116990.10,LMYC,MYCL,MYCL1,P12524,bHLHe38"
MYCN,"v-myc myelocytomatosis viral related oncogene, neuroblastoma derived (avian)",4613,2:15940564-15947007,1,,24.3,yes,,"neuroblastoma, Wilms tumour",,,O,Dom,oncogene,"A, Mis",,yes,Feingold syndrome 1,"4613,ENSG00000134323.11,MYCN,MYCNOT,N-myc,NMYC,P04198,bHLHe37"
MYD88,myeloid differentiation primary response gene (88),4615,3:38138478-38143019,1,Yes,22.2,yes,,ABC-DLBCL,,,L,Dom,oncogene,Mis,,,,"4615,ENSG00000172936.12,MYD88"
MYH11,"myosin, heavy polypeptide 11, smooth muscle",4629,16:15703172-15857011,1,,13.11,yes,,AML,,,L,Dom,fusion,T,CBFB,,,"4629,ENSG00000133392.17,MYH11,P35749,SMHC,SMMHC"
MYH9,"myosin, heavy polypeptide 9, non-muscle",4627,22:36281277-36388067,1,,12.3,yes,,ALCL,,,L,Dom,"TSG, fusion",T,ALK,yes,"Deafness, autosomal dominant 17, Epstein syndrome, Fechtner syndrome, May-Hegglin anomaly, Sebastian syndrome","4627,DFNA17,ENSG00000100345.21,EPSTS,FTNS,MHA,MYH9,NMHC-II-A,NMMHCA,P35579"
MYO5A,"myosin VA (heavy chain 12, myoxin)",4644,15:52307283-52529050,1,,21.2,yes,,Spitzoid tumour,,,E,Dom,fusion,T,ROS1,yes,Griscelli syndrome,"4644,ENSG00000197535.14,GS1,MYH12,MYO5,MYO5A,MYR12,Q9Y4I1"
MYOD1,myogenic differentiation 1,4654,11:17719568-17722131,1,Yes,15.1,yes,,embryonal rhabdomyosarcoma,,,M,Dom,oncogene,Mis,,,,"4654,ENSG00000129152.3,MYF3,MYOD,MYOD1,P15172,PUM,bHLHc1"
NAB2,NGFI-A binding protein 2,4665,12:57088894-57095476,1,Yes,13.3,yes,,"solitary fibrous tumour, meningeal haemangiopericytoma",,,"M, O",Dom,"TSG, fusion",T,STAT6,,,"4665,ENSG00000166886.12,MADER,NAB2,Q15742"
NBN,nibrin,4683,8:89933336-89984716,1,,21.3,,yes,,"NHL, glioma, medulloblastoma, rhabdomyosarcoma",Nijmegen breakage syndrome,"L, E, M, O",Rec,TSG,"Mis, N, F",,,,"4683,AT-V1,AT-V2,ATV,ENSG00000104320.13,NBN,NBS,NBS1,O60934"
NCOA1,nuclear receptor coactivator 1,8648,2:24491932-24770702,1,,23.3,yes,,alveolar rhabdomyosarcoma,,,M,Dom,fusion,T,PAX3,,,"8648,ENSG00000084676.15,F-SRC-1,KAT13A,NCOA1,NCoA-1,Q15788,RIP160,SRC1,bHLHe74"
NCOA2,nuclear receptor coactivator 2 (TIF2),10499,8:70109762-70403805,1,Yes,13.3,yes,,"AML, chondrosarcoma, rhabdomyosarcoma",,,"L, M",Dom,"oncogene, fusion",T,"KAT6A, HEY1, NCOA2",,,"10499,ENSG00000140396.12,GRIP1,KAT13C,NCOA2,NCoA-2,Q15596,TIF2,bHLHe75"
NCOA4,nuclear receptor coactivator 4 - PTC3 (ELE1),8031,10:46006412-46030607,1,,11.22,yes,,papillary thyroid,,,E,Dom,"TSG, fusion",T,RET,,,"8031,ARA70,DKFZp762E1112,ELE1,ENSG00000266412.5,NCOA4,PTC3,Q13772,RFG"
NCOR1,nuclear receptor corepressor 1,9611,17:16029157-16215549,1,Yes,12,yes,,breast,,,E,Rec,TSG,"Mis, F, N, O",,yes,Ulnar-mammary syndrome,"9611,ENSG00000141027.20,KIAA1047,MGC104216,N-CoR,NCOR1,O75376,PPP1R109,TRAC1,hCIT529I10,hN-CoR"
NCOR2,nuclear receptor corepressor 2,9612,12:124324415-124495252,1,Yes,24.31,yes,,prostate,,,E,Dom,TSG,"Mis, F, N, O",,,,"9612,CTG26,ENSG00000196498.13,NCOR2,SMRT,SMRTE,TNRC14,TRAC-1"
NDRG1,N-myc downstream regulated 1,10397,8:133237176-133297586,1,Yes,24.22,yes,,prostate,,,E,Dom,"TSG, fusion",T,ERG,,,"10397,CAP43,DRG1,ENSG00000104419.14,NDR1,NDRG1,Q92597,RTP,TDD5"
NF1,neurofibromatosis type 1 gene,4763,17:31094927-31377677,1,Yes,11.2,yes,yes,"neurofibroma, glioma","neurofibroma, glioma",neurofibromatosis type 1,O,Rec,"TSG, fusion","D, Mis, N, F, S, O",,,,"4763,ENSG00000196712.17,NF1,P21359"
NF2,neurofibromatosis type 2 gene,4771,22:29603558-29698598,1,Yes,12.2,yes,yes,"meningioma, acoustic neuroma, renal","meningioma, acoustic neuroma",neurofibromatosis type 2,O,Rec,TSG,"D, Mis, N, F, S, O",,,,"4771,ACN,BANF,ENSG00000186575.17,NF2,P35240,SCH,merlin"
NFATC2,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2",4773,20:51386957-51542719,1,,13.2,yes,,Ewing sarcoma,,,M,Dom,"oncogene, fusion",T,EWSR1,,,"4773,ENSG00000101096.19,NF-ATP,NFAT1,NFATC2,NFATp,Q13469"
NFE2L2,nuclear factor (erythroid-derived 2)-like 2 (NRF2),4780,2:177230305-177265131,1,Yes,31.2,yes,,"NSCLC, HNSCC",,,E,Dom,"oncogene, TSG",Mis,,,,"4780,ENSG00000116044.15,NFE2L2,NRF2,Q16236"
NFIB,nuclear factor I/B,4781,9:14087569-14313667,1,,23,yes,,"adenoid cystic carcinoma, lipoma",,,E,Dom,fusion,T,"MYB, HGMA2",,,"4781,ENSG00000147862.16,NFI-RED,NFIB,NFIB2,NFIB3,O00712"
NFKB2,nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100),4791,10:102394597-102402524,1,,24.32,yes,,B-NHL,,,L,Dom,"oncogene, TSG, fusion",T,IGH,,,"4791,ENSG00000077150.18,LYT-10,NF-kB2,NFKB2,Q00653,p105,p49/p100,p52"
NFKBIE,"nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon",4794,6:44258166-44265788,1,Yes,21.1,yes,,"CLL, desmoplastic melanoma",,,"L, E",Dom/Rec,TSG,"F, Mis",,,,"4794,ENSG00000146232.16,IKBE,NFKBIE,O00221"
NIN,ninein (GSK3B interacting protein),51199,14:50725840-50831121,1,,22.1,yes,,MPN,,,L,Dom,fusion,T,PDGFRB,,,"51199,ENSG00000100503.23,NIN,Q8N4C6"
NKX2-1,NK2 homeobox 1,7080,14:36516392-36520228,1,,13.3,yes,,NSCLC,,,E,Dom,"oncogene, TSG",A,,,,"7080,BCH,ENSG00000136352.17,NKX2-1,NKX2A,P43699,TITF1,TTF-1,TTF1"
NONO,"non-POU domain containing, octamer-binding",4841,X:71283583-71301168,1,Yes,13.1,yes,,papillary renal,,,E,Dom,fusion,T,TFE3,,,"4841,ENSG00000147140.15,NMT55,NONO,NRB54,P54,P54NRB,PPP1R114,Q15233"
NOTCH1,"Notch homolog 1, translocation-associated (Drosophila) (TAN1)",4851,9:136494433-136545786,1,Yes,34.3,yes,,"T-ALL, breast, bladder, skin SCC, lung SCC, head and neck SCC",,,"L, E",Dom/Rec,"oncogene, TSG, fusion","T, Mis, O","TRB, SEC16A, GABBR2",,,"4851,ENSG00000148400.10,NOTCH1,P46531,TAN1"
NOTCH2,Notch homolog 2,4853,1:119911553-120069626,1,Yes,12,yes,,"marginal zone lymphoma, DLBCL, bladder",,,"L, E",Dom/Rec,"oncogene, TSG","N, F, Mis",,yes,"Hajdu-Cheney syndrome, serpentine fibula-polycystic kidney syndrome","4853,ENSG00000134250.19,NOTCH2,Q04721"
NPM1,"nucleophosmin (nucleolar phosphoprotein B23, numatrin)",4869,5:171387648-171411137,1,Yes,35.1,yes,,"NHL, APL, AML",,,L,Dom,"oncogene, fusion","T, F","ALK, RARA, MLF1",,,"4869,B23,ENSG00000181163.13,NPM,NPM1,P06748"
NR4A3,"nuclear receptor subfamily 4, group A, member 3 (NOR1)",8013,9:99821855-99866891,1,,31.1,yes,,extraskeletal myxoid chondrosarcoma,,,M,Dom,"oncogene, fusion",T,"EWSR1, TAF15, TCF12, TFG",,,"8013,CHN,CSMF,ENSG00000119508.17,MINOR,NOR1,NR4A3,Q92570"
NRAS,neuroblastoma RAS viral (v-ras) oncogene homolog,4893,1:114704469-114716894,1,Yes,13.2,yes,,"melanoma, MM, AML, thyroid",,,"L, E",Dom,oncogene,Mis,,,,"4893,ENSG00000213281.4,N-ras,NRAS,P01111"
NRG1,neuregulin 1,3084,8:32548635-32764407,1,,12,yes,,NSCLC,,,E,Dom,"TSG, fusion",T,CD74,,,"3084,ENSG00000157168.18,GGF,HGL,HRG,NDF,NRG1,NRG1-IT2,Q02297"
NSD1,nuclear receptor binding SET domain protein 1,64324,5:177133925-177300215,1,,35.3,yes,,AML,,,L,Dom,fusion,T,NUP98,yes,Sotos Syndrome,"64324,ARA267,ENSG00000165671.20,FLJ22263,KMT3B,NSD1,Q96L73,STO"
NSD2,Wolf-Hirschhorn syndrome candidate 1(MMSET),7468,4:1892845-1982207,1,,16.3,yes,,MM,,,L,Dom,"oncogene, fusion",T,IGH,,,"7468,ENSG00000109685.17,KMT3G,MMSET,NSD2,O96028,WHSC1"
NSD3,Wolf-Hirschhorn syndrome candidate 1-like 1 (NSD3),54904,8:38269697-38382272,1,,11.23,yes,,AML,,,L,Dom,"oncogene, fusion","T, A",NUP98,,,"54904,ENSG00000147548.16,FLJ20353,KMT3F,NSD3,Q9BZ95,WHISTLE,WHSC1L1"
NT5C2,"5'-nucleotidase, cytosolic II",22978,10:103088018-103193306,1,Yes,24.33,yes,,relapse ALL,,,L,Dom,oncogene,Mis,,yes,Spastic paraplegia-45,"22978,ENSG00000076685.18,GMP,NT5B,NT5C2,P49902,PNT5,SPG65,cN-II"
NTRK1,"neurotrophic tyrosine kinase, receptor, type 1",4914,1:156860894-156881642,1,Yes,23.1,yes,,"papillary thyroid, Spitzoid tumour",,,E,Dom,"oncogene, TSG, fusion","T, A","TPM3, TPR, TFG, TP53, LMNA",,,"4914,ENSG00000198400.11,MTC,NTRK1,P04629,TRK,TRKA"
NTRK3,"neurotrophic tyrosine kinase, receptor, type 3",4916,15:87876757-88256731,1,Yes,25.3,yes,,"congenital fibrosarcoma, secretory breast",,,"E, M",Dom,"oncogene, fusion",T,ETV6,,,"4916,ENSG00000140538.16,NTRK3,Q16288,TRKC"
NUMA1,nuclear mitotic apparatus protein 1,4926,11:72002864-72080687,1,,13.4,yes,,APL,,,L,Dom,fusion,T,RARA,,,"4926,ENSG00000137497.17,NUMA1,Q14980"
NUP214,nucleoporin 214kDa (CAN),8021,9:131125561-131234670,1,,34.13,yes,,"AML, T-ALL",,,L,Dom,fusion,T,"DEK, SET, ABL1",,,"8021,CAIN,CAN,D9S46E,ENSG00000126883.16,N214,NUP214,P35658"
NUP98,nucleoporin 98kDa,4928,11:3675010-3797792,1,,15.4,yes,,AML,,,L,Dom,"oncogene, fusion",T,"HOXA9, NSD1, WHSC1L1, DDX10, TOP1, HOXD13, PRRX1, HOXA13, HOXD11, HOXA11, RAP1GDS1, HOXC11",,,"4928,ENSG00000110713.15,NUP96,NUP98,P52948"
NUTM1,"NUT midline carcinoma, family member 1",256646,15:34343315-34357728,1,,14,yes,,lethal midline carcinoma,,,E,Dom,"oncogene, fusion",T,"BRD3, BRD4",,,"256646,C15orf55,DKFZp434O192,ENSG00000184507.15,FAM22H,NUT,NUTM1,Q86Y26"
NUTM2B,NUT family member 2B,729262,10:79703227-79712757,1,,22.3,yes,,endometrial stromal sarcoma,,,M,Dom,fusion,T,YWHAE,,,"729262,A6NNL0,ENSG00000188199.10,FAM22B,NUTM2B,bA119F19.1"
NUTM2D,NUT family member 2A,728130,10:87357668-87367195,1,,23.2,yes,,endometrial stromal sarcoma,,,M,Dom,fusion,T,YWHAE,,,"728130,ENSG00000214562.14,FAM22D,NUTM2D,Q5VT03"
OLIG2,oligodendrocyte lineage transcription factor 2 (BHLHB1),10215,21:33025935-33029196,1,,22.11,yes,,T-ALL,,,L,Dom,"oncogene, fusion",T,TRA,,,"10215,BHLHB1,ENSG00000205927.4,OLIG2,OLIGO2,PRKCBP2,Q13516,RACK17,bHLHe19"
P2RY8,"purinergic receptor P2Y, G-protein coupled, 8",286530,X:1462572-1537107,1,,22.33,yes,,"B-ALL, Down syndrome associated ALL",,,L,Dom,"oncogene, fusion",T,CRLF2,,,"286530,ENSG00000182162.10,P2RY8,P2Y8,Q86VZ1"
PAFAH1B2,"platelet-activating factor acetylhydrolase, isoform Ib, beta subunit 30kDa",5049,11:117144267-117171048,1,Yes,23.3,yes,,MLCLS,,,L,Dom,fusion,T,IGH,,,"5049,ENSG00000168092.13,P68402,PAFAH1B2"
PALB2,partner and localizer of BRCA2,79728,16:23603170-23641310,1,,12.2,,yes,,"Wilms tumour, medulloblastoma, AML ,breast","Fanconi anaemia N, breast cancer susceptibility","L, O, E",Rec,TSG,"F, N, Mis",,,,"79728,ENSG00000083093.9,FANCN,FLJ21816,PALB2,Q86YC2"
PATZ1,zinc finger protein 278 (ZSG),23598,22:31325804-31346232,1,,12.2,yes,,Ewing sarcoma,,,M,Dom,"TSG, fusion",T,EWSR1,,,"23598,ENSG00000100105.17,MAZR,PATZ,PATZ1,Q9HBE1,RIAZ,ZBTB19,ZNF278,ZSG,dJ400N23"
PAX3,paired box gene 3,5077,2:222199888-222298981,1,Yes,36.1,yes,,alveolar rhabdomyosarcoma,,,M,Dom,"oncogene, fusion",T,"FOXO1, NCOA1, NCOA2",yes,"Waardenburg syndrome; craniofacial-deafness-hand syndrome","5077,ENSG00000135903.19,HUP2,P23760,PAX3,WS1"
PAX5,paired box gene 5 (B-cell lineage specific activator protein),5079,9:36833275-37034185,1,Yes,13.2,yes,,"NHL, ALL, B-ALL",,,L,Dom,"oncogene, TSG, fusion","T, Mis, D, F, S","IGH, ETV6, PML, FOXP1, ZNF521, ELN",,,"5079,BSAP,ENSG00000196092.12,PAX5,Q02548"
PAX7,paired box gene 7,5081,1:18631006-18736138,1,Yes,36.13,yes,,alveolar rhabdomyosarcoma,,,M,Dom,fusion,T,FOXO1,,,"5081,ENSG00000009709.11,Hup1,P23759,PAX7"
PAX8,paired box gene 8,7849,2:113215997-113278921,1,Yes,14.1,yes,,follicular thyroid,,,E,Dom,fusion,T,PPARG,yes,Thyroid dysgenesis,"7849,ENSG00000125618.16,PAX8,Q06710"
